person1_name,person1_dob,person1_tob,person1_pob,person1_moon_sign,person1_nakshatra,person2_name,person2_dob,person2_tob,person2_pob,person2_moon_sign,person2_nakshatra,varna_score,vashya_score,tara_score,yoni_score,graha_maitri_score,gana_score,bhakoot_score,nadi_score,total_score,compatible
About Riley Meredith/ Who is Riley Meredith ?,"June 21, 1996",12:00:00,Hobart,Leo,Magha,Mattia De Sciglio,"October 20, 1992",12:00:00,Milan,Cancer,Punarvasu,0,0,1,0,5,1,0,8,15,0
About Akash Singh/ Who is Akash Singh ?,"April 26, 2002",12:00:00,Bharatpur,Libra,Chitra,Red Smith,"September 25, 1905",06:15:00,"88 W 1, 44 N 29",Cancer,Punarvasu,0,1,1,3,0,1,7,8,21,1
About Digvijay Deshmukh/ Who is Digvijay Deshmukh ?,"April 12, 1998",12:00:00,Ambajogai,Libra,Chitra,Chris Miller,"August 09, 1965",09:36:59,"117 W 45, 34 N 3",Sagittarius,Mula,0,2,1,3,0,6,7,8,27,1
Red Smith,"September 25, 1905",06:15:00,"88 W 1, 44 N 29",Cancer,Punarvasu,Giorgio Chiellini,"August 14, 1984",12:00:00,Pisa,Aquarius,Dhanishta,1,1,1,2,0,1,0,8,14,0
About Lukman Meriwala/ Who is Lukman Meriwala ?,"December 11, 1991",12:00:00,Vadodara,Capricorn,Uttara Ashadha,About Lalith Yadav/ Who is Lalith Yadav ?,"January 3, 1997",12:00:00,Delhi,Libra,Chitra,1,1,1,3,5,0,7,8,26,1
About Jhye Richardson/ Who is Jhye Richardson ?,"September 20, 1996",12:00:00,murdoch,Scorpio,Vishakha,Drew Brees,"January 15, 1979",00:00:00,Austin,Cancer,Punarvasu,1,0,3,2,4,1,0,8,19,1
About Fabian Allen/ Who is Fabian Allen ?,"May 7, 1995",12:00:00,Kingston,Cancer,Punarvasu,About Mohammed Azharuddeen/ Who is Mohammed Azharuddeen ?,"March 22, 1994",12:00:00,Thalangara,Gemini,Mrigashira,1,1,1,2,1,6,0,8,20,1
Akanksha Singh,"July 30, 1990",12:00:00,Varanasi,Libra,Chitra,Danish Mujtaba,"December 20, 1988",12:00:00,Allahabad,Aries,Ashwini,0,1,1,3,3,1,7,8,24,1
Raju Gaikwad,"September 25, 1990",12:00:00,Mumbai,Scorpio,Vishakha,Phil Foden,"May 28, 2000",00:00:00,Manchester,Aquarius,Dhanishta,1,0,1,3,0,6,7,8,26,1
About Ishan Porel/ Who is Ishan Porel ?,"September 5, 1998",12:00:00,Chinsura,Aquarius,Dhanishta,About Imran Khan/ Who is Imran Khan ?,"October 5, 1952",06:45:00,Lahore,Aries,Ashwini,0,1,1,2,0,1,7,8,20,1
About C Hari Nishanth/ Who is C Hari Nishanth ?,"August 16, 1996",13:00:00,Chennai,Leo,Magha,Diego Maradona,"October 30, 1960",07:05:00,Buenos Aires,Aquarius,Dhanishta,1,0,1,2,0,6,7,8,25,1
About Ravi Bishnoi/ Who is Ravi Bishnoi ?,"September 5, 2000",12:00:00,Jodhpur,Scorpio,Vishakha,Kelly Marie Miller,"September 16, 1978",07:40:00,"92 W 28, 44 N 0",Aquarius,Dhanishta,1,0,1,2,0,6,7,8,25,1
Sachin Tendulkar,"April 24, 1973",14:25:00,Mumbai,Sagittarius,Mula,Vikram Pillay,"November 27, 1981",12:00:00,Khadki,Scorpio,Vishakha,0,0,1,3,5,6,0,8,23,1
About Rajat Patidar/ Who is Rajat Patidar ?,"June 1, 1993",12:00:00,Indore,Libra,Chitra,Rajpal Singh,"August 08, 1983",12:00:00,Chandigarh,Cancer,Punarvasu,0,1,1,2,0,1,7,8,20,1
Drew Brees,"January 15, 1979",00:00:00,Austin,Cancer,Punarvasu,Ignazio Abate,"November 12, 1986",12:00:00,"Sant''Agata de'' Goti, Italy",Pisces,Purva Bhadrapada,1,2,3,2,4,6,0,0,18,1
Virat Kohli,"November 05, 1988",10:28:00,Delhi,Virgo,Uttara Phalguni,Daniele De Rossi,"July 24, 1983",12:00:00,Rome,Capricorn,Uttara Ashadha,1,1,3,3,4,6,0,8,26,1
About Ishan Porel/ Who is Ishan Porel ?,"September 5, 1998",12:00:00,Chinsura,Aquarius,Dhanishta,V V S Laxman,"November 01, 1974",10:26:23,Hyderabad,Aries,Ashwini,0,1,1,2,0,1,7,8,20,1
About Sheldon Cottrell/ Who is Sheldon Cottrell ?,"August 19, 1989",12:00:00,jamaica,Pisces,Purva Bhadrapada,Sarwanjit Singh,"July 03, 1988",12:00:00,Ludhiana,Aquarius,Dhanishta,1,1,1,4,3,0,0,8,18,1
Marco Parolo,"January 25, 1985",12:00:55,"Gallarate, Italy",Pisces,Purva Bhadrapada,Gurbaj Singh,"August 09, 1988",12:00:00,Jalandhar,Gemini,Mrigashira,1,1,1,3,0,5,7,8,26,1
About Josh Philippe/ Who is Josh Philippe ?,"June 1, 1997",12:00:00,Subiaco,Pisces,Purva Bhadrapada,Neymar,"February 05, 1992",02:15:00,Mogi das Cruzes,Aquarius,Dhanishta,1,1,1,4,3,0,0,8,18,1
About Abdul Samad/ Who is Abdul Samad ?,"October 28, 2001",12:00:00,Kalakote,Aquarius,Dhanishta,Neymar,"February 05, 1992",02:15:00,Mogi das Cruzes,Aquarius,Dhanishta,1,2,3,4,5,6,7,0,28,1
About Ripal Patel/ Who is Ripal Patel ?,"September 28, 1995",12:00:00,Nadiad,Libra,Chitra,Parupalli Kashyap,"September 08, 1986",12:00:00,Hyderabad,Libra,Chitra,1,2,3,4,5,6,7,0,28,1
About Josh Philippe/ Who is Josh Philippe ?,"June 1, 1997",12:00:00,Subiaco,Pisces,Purva Bhadrapada,Sourav Ganguly,"July 08, 1972",01:00:00,kolkata(india),Taurus,Krittika,1,1,1,3,0,0,7,8,21,1
